"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"530",2010,"Illinois State University Retirement System","Illinois","0.1538","0.0179","Projected Unit Credit","0.4637","13966643000","12121542111",NA,"30120427000",NA,"1003300000","0.6943087810226254","1019485000","0.2421","Level Percent Open","-1477486400","1454470300","-47284473","-12108181",NA,"5-year smoothed market value.","3491071000","274999557","0.07518","696595310",NA,"697028000","0.3638",NA,NA,2011,NA,"0.0775","0.0775","30.0",NA,"0.22984","971594880","0.20914","723798000",NA,NA,"Plan covers teachers","16153784000","0.0375"
"531",2011,"Illinois State University Retirement System","Illinois","0.2374","0.046","Projected Unit Credit","0.4425","13945680000","14274003297",NA,"31514336000",NA,"1259000000","0.6144559173947577","1442800000","0.3451","Level Percent Open","-1611228400","1619615800","-58917602","-12273786",NA,"5-year smoothed market value.","3460838000","260177436","0.07383","773594690",NA,"773595000","0.41267",NA,NA,2012,NA,"0.0775","0.0775","30.0",NA,"0.28608","1033772100","0.20041","700972000",NA,NA,"Plan covers teachers","17568656000","0.0375"
"532",2012,"Illinois State University Retirement System","Illinois","0.0006","0.0426","Projected Unit Credit","0.4206","13949905000","13705143278",NA,"33170216000",NA,"1443300000","0.6830180835585118","1551766000","0.3631","Level Percent Open","-1743746000","1771439400","-65065250","-13166856",NA,"5-year smoothed market value.","3477166000","258236014","0.0801","985814630",NA,"985815000","0.43263",NA,NA,2013,NA,"0.0775","0.0775","30.0","0.0375","0.31977","1244050600","0.19297","683776000",NA,NA,"Plan covers teachers","19220311000","0.0375"
"533",2013,"Illinois State University Retirement System","Illinois","0.1253","0.0491","Projected Unit Credit","0.4149","14262621000","15037101827","15037101827","34373104000",NA,"1549300000","0.9046020783579681","1588200000","0.3581","Level Percent Open","-1914554600","1909495100","-81454898","-13426494",NA,"5-year smoothed market value.","3533858000","245141327","0.0801","1401481100",NA,"1401481000","0.45038",NA,NA,2014,NA,"0.0775","0.0775","30.0","0.0375","0.34239","1646622500","0.1881","681099000",NA,NA,"Plan covers teachers","20110483000","0.0375"
"534",2014,"Illinois State University Retirement System","Illinois","0.1793","0.1344","Projected Unit Credit","0.4233","15844714000","17391323132","17391323132","37429515000","39182306271","1560524000","0.96305","1647480000","0.3661","Level Percent Open","-2002869400","2024400000","-82897094","-13857522",NA,"5-year smoothed market value.","3522246000","283081326","0.06853","43898605",NA,"1502864000","0.36381",NA,NA,2015,NA,"0.0725","0.0709","30.0","0.0375","0.26331","1785945000","0.16902","698225000",NA,NA,"Plan covers teachers","21584801000","0.0375"
"535",2015,"Illinois State University Retirement System","Illinois","0.0293","0.1082","Projected Unit Credit","0.4328","17104608000","17462967856","17462967856","39520687000","41219328943","1622656000","0.94199","1718926000","0.3729","Level Percent Closed","-2129977800","2128800000","-83715719","-14069273",NA,"5-year smoothed market value.","3606537000","267682083","0.06787","39933910",NA,"1528525000","0.35709",NA,NA,2016,NA,"0.0725","0.0712","30.0","0.0375","0.25219","1796207500","0.17277","739549000",NA,NA,"Plan covers teachers","22416080000","0.0375"
"536",2016,"Illinois State University Retirement System","Illinois","0.001","0.0635","Projected Unit Credit","0.4326","17701646000","17005629973","17005629973","40923301000","42970901717","1811060000","0.87368","1800185000","0.3924","Level Percent Closed","-2235813000","2247600000","-85015922","-14731372",NA,"5-year smoothed market value.","3513108000","278883776","0.06611","39348477",NA,"1582295000","0.3751",NA,NA,2017,NA,"0.0725","0.0701","29.0","0.0375","0.27072","1861178800","0.17049","719200000",NA,NA,"Plan covers teachers","23221655000","0.0375"
"537",2017,"Illinois State University Retirement System","Illinois","0.1191","0.0807","Projected Unit Credit","0.4443","18594326000","18484819578","18484819578","41853348000","43965925573","1864843000","0.88509","1705300000","0.3712","Level Percent Closed","-2339897300","2341200000","-89569617","-14847009",NA,"5-year smoothed market value.","3458320000","278642830","0.06659","38386211",NA,NA,"0.39445",NA,NA,2018,NA,"0.0725","0.0709","28.0","0.0375","0.2933","1929193500","0.16774","701900000",NA,NA,"Plan covers teachers","23259022000","0.0375"
"538",2018,"Illinois State University Retirement System","Illinois","0.0826","0.0776","Projected Unit Credit","0.4275","19347886000","19321075501","19321075501","45258751000","46815632183","1862033000","0.86351","1916976000","0.4212","Level Percent Closed","-2446291300","2446100000","-93492133","-14396609",NA,"5-year smoothed market value.","3470226000","282726126","0.0663","39659344",NA,"1607880320000","0.37706",NA,NA,2019,NA,"0.0675","0.0665","27.0","0.0325","0.27211","1890606500","0.17125","730265000",NA,NA,"Plan covers teachers","25910865000",NA
"539",2019,"Illinois State University Retirement System","Illinois","0.0596","0.0552","Projected Unit Credit","0.4233","19661892000","19717347961","19717347961","46443937000","48437419134","2239366000","0.73327","2053796000","0.44","Level Percent Closed","-2558990300","2560400000","-80538398","-16083589",NA,"5-year smoothed market value.","3506650000","280017618","0.06532","49415109",NA,NA,"0.37691",NA,NA,2020,NA,"0.0675","0.0659","26.0","0.0325","0.27483","1922071900","0.16741","729332000",NA,NA,"Plan covers teachers","26782046000","0.0325"
"540",2020,"Illinois State University Retirement System","Illinois","0.028","0.0554","Projected Unit Credit","0.4223","20091676000","19617015606",NA,"47580470000","50236519927","2299031000","0.79981","2163648000","0.4422","Level Percent Closed","-2676192800","2667147000","-69001516","-18469275",NA,"5-year smoothed market value.","3642617000","282367290","0.06427","52968297",NA,NA,"0.40114",NA,NA,2021,NA,"0.0675","0.0649","25.0","0.0325","0.30404","2121153300","0.16136","739676000",NA,NA,"Plan covers teachers","27488795000","0.0325"
"541",2001,"Illinois Teachers Retirement System","Illinois","-0.0416","-0.0416","Projected Unit Credit","0.595","23315646000","23315646083",NA,"39166697000",NA,"1102441000","0.706","930050000",NA,"Level Percent Open","-1566793300","1566793000","-35849078","-12640595",NA,"Fair value","6430612000","643563000","0.094","97617609",NA,"724008000","0.1237",NA,NA,2003,NA,"0.085","0.085","40.0",NA,"0.0372","1465188800","0.1805","1186357800",NA,NA,"Plan covers teachers","15851051000",NA
"542",2002,"Illinois Teachers Retirement System","Illinois","-0.0312","-0.0312","Projected Unit Credit","0.52","22366284000","22366284712",NA,"43047674000",NA,"1163262000","0.741","1030659000",NA,"Level Percent Open","-1759748600","1759749000","-38755605","-13487393",NA,"Fair value","6785236000","681152000","0.094","92618148",NA,"814740000","0.1309",NA,NA,2004,NA,"0.085","0.085","40.0",NA,"0.0425","1588509600","0.1824","1270123800",NA,NA,"Plan covers teachers","20681389000",NA
"543",2003,"Illinois Teachers Retirement System","Illinois","0.0478","0.0478","Projected Unit Credit","0.493","23124824000","23124823071",NA,"46933432000",NA,"1427519000","0.68","907028000",NA,"Level Percent Open","-1998622300","1998622000","-43114742","-13859402",NA,"Fair value","7059032000","732020000","0.094","91552461",NA,"929710000","0.1355",NA,NA,2005,NA,"0.085","0.085","40.0",NA,"0.0472","1753282600","0.1823","1360557300",NA,NA,"Plan covers teachers","23808609000",NA
"544",2004,"Illinois Teachers Retirement System","Illinois","0.1646","0.1646","Projected Unit Credit","0.619","31544728000","31544729285",NA,"50947451000",NA,"1716977000","0.643","1058537000",NA,"Level Percent Open","-2262329500","2262329000","-48019645","-13560546",NA,"Fair value","7280795000","768661000","0.094","127573470",NA,"5361852000","0.1496","4330374000",NA,2006,NA,"0.085","0.085","40.0",NA,"0.0681","6258086500","0.1755","1367124300",NA,NA,"Plan covers teachers","19402722000",NA
"545",2005,"Illinois Teachers Retirement System","Illinois","0.1069","0.1069","Projected Unit Credit","0.608","34085216000","34085218477",NA,"56075029000",NA,"1683212000","0.587","738041500",NA,"Level Percent Open","-2533102800","2796716800","-59395758","-14403715",NA,"Fair value","7550510000","761790000","0.094","148813030",NA,"906749000","0.1284",NA,NA,2007,NA,"0.085","0.085","40.0",NA,"0.0452","1817352400","0.1772","1399761300",NA,NA,"Plan covers teachers","21989811000",NA
"546",2006,"Illinois Teachers Retirement System","Illinois","0.1198","0.1198","Projected Unit Credit","0.62","36584888000","36584889427",NA,"58996913000",NA,"1679524000","0.358","1041295000",NA,"Level Percent Open","-2877230800","3016863300","-57967063","-15303370",NA,"Fair value","7765752000","799034000","0.094","123542610",NA,"534305000","0.0764",NA,NA,2008,NA,"0.085","0.085","40.0",NA,"-0.0056","1456882300","0.176","1444740000",NA,NA,"Plan covers teachers","22412024000",NA
"547",2007,"Illinois Teachers Retirement System","Illinois","0.1907","0.1907","Projected Unit Credit","0.638","41909320000","41909317751",NA,"65648395000",NA,"2052396000","0.398","1451789000",NA,"Level Percent Open","-3111752800","3342349500","-59731910","-15246203",NA,"Fair value","8149849000","826249000","0.094","115915040",NA,"737671000","0.1036",NA,NA,2009,NA,"0.085","0.085","30.0","0.04","0.0216","1679834600","0.176","1477084100",NA,NA,"Plan covers teachers","23739077000","0.04"
"548",2008,"Illinois Teachers Retirement System","Illinois","-0.0489","-0.0489","Projected Unit Credit","0.56","38430724000","38430723287",NA,"68632367000",NA,"1949463000","0.6","2089268000",NA,"Level Percent Open","-3423982300","3549172800","-60285625","-16613363",NA,"Fair value","8521717000","865400000","0.094","130673630",NA,"1041115000","0.1369",NA,NA,2010,NA,"0.085","0.085","30.0","0.04","0.0547","2037188600","0.1762","1547051600",NA,NA,"Plan covers teachers","30201644000","0.04"
"549",2009,"Illinois Teachers Retirement System","Illinois","-0.2289","0.0222","Projected Unit Credit","0.521","38026044000","28497729443",NA,"73027198000",NA,"2109480000","0.759","2358441000",NA,"Level Percent Open","-3653714000","3812546000","-53709137","-17387936",NA,"5-year smoothed market value.","8945021000","876182000","0.09937","152328860",NA,"1451592000","0.1766",NA,NA,2011,NA,"0.085","0.085","30.0","0.04","0.08391","2480102800","0.19206","1693502500",NA,NA,"Plan covers teachers","35001154000","0.04"
"550",2010,"Illinois Teachers Retirement System","Illinois","0.1297","0.0071","Projected Unit Credit","0.484","37439092000","31323784214",NA,"77293198000",NA,"2481914000","0.906","2406472000",NA,"Level Percent Open","-3927838300","4107592300","-60349777","-16950680",NA,"5-year smoothed market value.","9251139000","899401000","0.09831","171420550",NA,"2080729000","0.2396",NA,NA,2012,NA,"0.085","0.085","30.0","0.04","0.1481","3151550800","0.18981","1756579600",NA,NA,"Plan covers teachers","39854106000","0.04"
"551",2011,"Illinois Teachers Retirement System","Illinois","0.235","0.0384","Projected Unit Credit","0.465","37769752000","37471267194",NA,"81299745000",NA,"2743221000","0.847","2703478000",NA,"Level Percent Open","-4228283000","4418017000","-76587195","-17792070",NA,"5-year smoothed market value.","9205603000","909578000","0.09792","155110140",NA,"2170918000","0.257",NA,NA,2013,NA,"0.085","0.085","30.0","0.04","0.1693","3235605800","0.18562","1798002800",NA,NA,"Plan covers teachers","43529992000","0.04"
"552",2012,"Illinois Teachers Retirement System","Illinois","0.0061","0.0364","Projected Unit Credit","0.421","37945396000","36516825339",NA,"90024945000",NA,"3429945000","0.746","3438578000","0.0789","Level Percent Open","-4553822000","4780743000","-84635031","-19011898",NA,"5-year smoothed market value.","9321098000","917661000","0.09768","154894950",NA,"2406364000","0.2549",NA,NA,2014,NA,"0.08","0.08","30.0","0.04","0.1706","3478920500","0.18198","1818897100",NA,NA,"Plan covers teachers","52079548000","0.04"
"553",2013,"Illinois Teachers Retirement System","Illinois","0.127","0.0383","Projected Unit Credit","0.406","38155192000","39858768499","39858768499","93886988000",NA,"3582033000","0.798","3412878000","0.0802","Level Percent Open","-4893084000","4811370000","-88397547","-20257553",NA,"5-year smoothed market value.","9394741000","921423000","0.09745","157179250",NA,"2703312000","0.2863",NA,NA,2015,NA,"0.08","0.08","30.0","0.04","0.204","3781914000","0.17975","1785343400",NA,NA,"Plan covers teachers","55731797000","0.04"
"554",2014,"Illinois Teachers Retirement System","Illinois","0.1719","0.1275","Projected Unit Credit","0.406","42150764000","45824382514","45824382514","103740377267","106682654886","4091978000","0.87848","3742702194","0.0936","Level Percent Open","-5225207000","5204460500","-95456148","-21218068",NA,"5-year smoothed market value.","9512809680","928745853","0.10062","158874590",NA,"3438383000","0.3599",NA,NA,2016,NA,"0.075","0.075","30.0","0.04","0.281","4525463500","0.17952","1791598500",NA,NA,"Plan covers teachers","61589612006","0.04"
"555",2015,"Illinois Teachers Retirement System","Illinois","0.0391","0.1076","Projected Unit Credit","0.42","45435192000","46406915593","46406915593","108121825171","111916989345","4119526000","0.85487","3986583351","0.0827","Level Percent Closed","-5536399500","5505783500","-88637727","-21686859",NA,"5-year smoothed market value.","9641170627","935451049","0.10042","145591580",NA,"3377665000","0.3358",NA,NA,2017,NA,"0.08","0.0747","20.0","0.04","0.2556","4458707500","0.18062","1881806500",NA,NA,"Plan covers teachers","62686632526","0.04"
"556",2016,"Illinois Teachers Retirement System","Illinois","-0.001","0.0646","Projected Unit Credit","0.398","47222096000","45250956731","45250956731","118629890000","124187003384","4582530000","0.8487","4564952674","0.101","Level Percent Closed","-5848180000","5728199000","-83026969","-22967918",NA,"5-year smoothed market value.","9811614000","951809398","0.09829","148040770",NA,"3742469000","0.3664",NA,NA,2018,NA,"0.075","0.0683","19.0",NA,"0.2728","4842319500","0.19189","2034296900",NA,NA,"Plan covers teachers","71407792000","0.025"
"557",2017,"Illinois Teachers Retirement System","Illinois","0.1239","0.0783","Projected Unit Credit","0.402","49467524000","49375664518","49375664518","122904034000","125773806438","6248879000","0.66164","4466178109","0.0985","Level Percent Closed","-6152868000","6033051000","-285138160","-22728734",NA,"5-year smoothed market value.","9965570000","929130165","0.09812","149495580",NA,NA,"0.3912",NA,NA,2019,NA,"0.075","0.07","18.0",NA,"0.3085","5064989500","0.18082","1905599800",NA,NA,"Plan covers teachers","73436509000","0.025"
"558",2018,"Illinois Teachers Retirement System","Illinois","0.0832","0.0763","Projected Unit Credit","0.407","51730888000","51969546694","51969546694","127019330000","129914383296","7080756500","0.59014","4813577696","0.1066","Level Percent Closed","-6458709500","6336472000","-92924734","-21550896",NA,"5-year smoothed market value.","10163980000","938037245","0.09","84633117",NA,"4095125358000","0.4002",NA,NA,2020,NA,"0.07","0.07","17.0","0.02","0.2992","5117795500","0.191","1994349400",NA,NA,"Plan covers teachers","75288440000",NA
"559",2019,"Illinois Teachers Retirement System","Illinois","0.051","0.0584","Projected Unit Credit","0.406","53391192000","53262789367","53262389367","131456969000","134370954628","7429037000","0.6129","5140736721","0.1041","Level Percent Closed","-6745544000","6639967500","-73216391","-24335680",NA,"5-year smoothed market value.","10450452000","963972120","0.09","88514781",NA,NA,"0.4172",NA,NA,2021,NA,"0.07","0.07","16.0","0.02","0.3187","5518507500","0.1885","2007773900",NA,NA,"Plan covers teachers","78065776000",NA
"560",2020,"Illinois Teachers Retirement System","Illinois","0.0052","0.0516","Projected Unit Credit","0.405","54890976000","52316477771",NA,"135598547000","138531733887","7988612000","0.61401","5694106973","0.1031","Level Percent Closed","-7035307500","6927481500","-64217457","-22966371",NA,"5-year smoothed market value.","10827439000","994400416","0.09","92658234",NA,NA,"0.4494",NA,NA,2022,NA,"0.07","0.07","15.0","0.02","0.3428","5900510500","0.1966","2153126300",NA,NA,"Plan covers teachers","80707571000",NA
