"","year","plan_name","state","return_1yr","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"182","2011","California State Teachers Retirement System","California","0.231","Entry Age Normal","0.69","143930000000","155345815000","207770000000",NA,"6612000000","0.5177",NA,NA,"Level Percent Open","-9854492000","9685000000","-116089000","-110484000",NA,"26592000000","2355909000","0.06","2310251000",NA,"1193364000","0.26343",NA,NA,NA,NA,"0.075",NA,"30.0","0.0375","0.14044","5859524000","0.18299",NA,NA,"Plan covers teachers","63840000000","0.0375"
"183","2012","California State Teachers Retirement System","California","0.0184","Entry Age Normal","0.67","144232000000","151318057000","214765000000",NA,"6844000000","0.5068699999999999",NA,NA,"Level Percent Open","-10442523000","10425012000","-108111000","-138411000",NA,"26404000000","2279900000","0.08","2237983000",NA,"1302581000","0.26092",NA,NA,NA,NA,"0.075",NA,"30.0","0.0375","0.15816","5820464000","0.18275999999999998",NA,NA,"Plan covers teachers","70533000000","0.0375"
"184","2013","California State Teachers Retirement System","California","0.138","Entry Age Normal","0.67","148614000000","166348909000","222281000000",NA,"7224000000","0.48727",NA,NA,"Level Percent Open","-11133282000","11354733000","-104994000","-136944000",NA,"26483000000","2336731000","0.08","2283263000",NA,"1328298000","0.24879",NA,NA,NA,NA,"0.075",NA,"30.0","0.0375","0.1462","5948292000","0.18259",NA,NA,"Plan covers teachers","73667000000","0.0375"
"185","2014","California State Teachers Retirement System","California","0.1866","Entry Age Normal","0.6854","158495000000","190474016000","231213000000","248911000000","7158000000","0.50866",NA,NA,"Level Percent Open","-11725324000","11927500000","-107600000","-154155000",NA,"27486000000","2263613000","0.09654","2272166000",NA,"1383468000","0.21452",NA,NA,NA,NA,"0.075",NA,"30.0","0.0375","0.12897","5919247000","0.18209",NA,NA,"Plan covers teachers","72718000000","0.0375"
"186","2015","California State Teachers Retirement System","California","0.0477","Entry Age Normal","0.685","165553000000","191822336000","241753000000","259146000000","7707000000","0.53108",NA,NA,"Level Percent Open","-12284071000","12476902000","-87694000","-145239000",NA,"28013000000","2509712000","0.09742999999999999","2677815000",NA,"1425796000","0.21406",NA,NA,NA,NA,"0.075",NA,"30.0","0.0375","0.13039","6613323000","0.1811",NA,NA,"Plan covers teachers","76200000000","0.0375"
"187","2016","California State Teachers Retirement System","California","0.0135","Entry Age Normal","0.637","169976000000","189113487000","266704000000","269994000000","7748000000","0.68637",NA,NA,"Level Percent Open","-12892265000","12717903000","-84001000","-180056000",NA,"29826000000","2957473000","0.09774","3391144000",NA,"1939902000","0.28365999999999997",NA,NA,NA,NA,"0.075",NA,"30.0","0.035","0.1904","8288519000","0.191",NA,NA,"Plan covers teachers","96728000000","0.035"
"188","2017","California State Teachers Retirement System","California","0.1344","Entry Age Normal","0.63","179689000000","210289900000","286950000000","302769000000","7959000000","0.8356600000000001",NA,NA,"Level Percent Open","-13626306000",NA,"-115509000","-182367000",NA,"31136000000","3440883000","0.10222","4173235000",NA,NA,"0.2025",NA,NA,NA,NA,"0.075",NA,"30.0","0.035","0.10197","10092348000","0.20275",NA,NA,"Plan covers teachers","107261000000","0.035"
"189","2018","California State Teachers Retirement System","California","0.0899","Entry Age Normal","0.64","190451000000","224868635000","297603000000","316776000000","9577000000","0.7991",NA,NA,"Level Percent Open","-14270878000","14016896481000","-103886000","-216083000",NA,"31884000000","3496245000","0.10227","4866661000",NA,"2796673137000","0.2025",NA,NA,NA,NA,"0.07",NA,"30.0","0.035","0.10296","11159579000","0.20181",NA,NA,"Plan covers teachers","107152000000",NA
"190","2019","California State Teachers Retirement System","California","0.0682","Entry Age Normal","0.64","190451000000","238861888000","297603000000","329178000000","10790000000","1.0165",NA,NA,"Level Percent Open","-15001620000",NA,"-99893000","-253953000",NA,"35805000000","3647999000","0.10227","5644472000",NA,NA,"0.2025",NA,NA,NA,NA,"0.07",NA,"30.0",NA,NA,"14627331000","0.20181",NA,NA,"Plan covers teachers","107152000000",NA
"191","2001","CalPERS - California Public Employees Retirement Fund","California","-0.072","Entry Age Normal","1.119","166860000000","156274397000","149155000000",NA,"321618855","1.0",NA,NA,"Level Percent Closed","-5792949000","5792949000","-128866000","-183866000",NA,"30802000000","1766251000","0.057339999999999995","321619000",NA,"162830000","0.02678",NA,NA,NA,NA,"0.0825",NA,"31.0","0.0375","-0.07209","2087875000","0.15621",NA,NA,"Plan covers state and local employees","-17705000000",NA
"192","2002","CalPERS - California Public Employees Retirement Fund","California","-0.061","Entry Age Normal","0.952","156067000000","142787218000","163961000000",NA,"800964553","1.0",NA,NA,"Level Percent Closed","-6431019000","6534405000","-103386000","-208688000",NA,"32873000000","2154742000","0.06555","800964000",NA,"707529000","0.048960000000000004",NA,NA,NA,NA,"0.0825",NA,"30.0","0.0375","-0.05315","2955706000","0.16766",NA,NA,"Plan covers state and local employees","7894000000",NA
"193","2003","CalPERS - California Public Employees Retirement Fund","California","0.037","Entry Age Normal","0.877","158596000000","144762706000","180922000000",NA,"1925043858","1.0",NA,NA,"Level Percent Closed","-6991914000","7105938500","-114025000","-214274000",NA,"34784000000","1887925000","0.054279999999999995","1925044000",NA,"1178915000","0.10887999999999999",NA,NA,NA,NA,"0.0775",NA,"20.0","0.0375","5.9999999999999995e-05","3812969000","0.1631",NA,NA,"Plan covers state and local employees","22326000000",NA
"194","2004","CalPERS - California Public Employees Retirement Fund","California","0.166","Entry Age Normal","0.873","169899000000","167584099000","194609000000",NA,"4261347422","1.0",NA,NA,"Level Percent Closed","-7639085000","7790611500","-151526000","-188361000",NA,"35078000000","2266445000","0.06461","4261347000",NA,"2121425000","0.14365",NA,NA,NA,NA,"0.0775",NA,"29.0","0.0325","0.041030000000000004","6527792000","0.16723",NA,NA,"Plan covers state and local employees","24710000000",NA
"195","2005","CalPERS - California Public Employees Retirement Fund","California","0.123","Entry Age Normal","0.873","183680000000","189630881000","210301000000",NA,"5774120281","1.0",NA,NA,"Level Percent Closed","-8434119000","8589355000","-155236000","-208965000",NA,"36045000000","3176781000","0.08813","5774120000",NA,"2480271000","0.15102000000000002",NA,NA,NA,NA,"0.0775",NA,"29.0","0.0325","0.04746","8950901000","0.19169",NA,NA,"Plan covers state and local employees","26621000000",NA
"196","2006","CalPERS - California Public Employees Retirement Fund","California","0.118","Entry Age Normal","0.872","199033000000","211190801000","228131000000",NA,"6095029424","1.0",NA,NA,"Level Percent Closed","-9236073000","9407003000","-170929000","-236212000",NA,"38047000000","3080879000","0.08098","6095029000",NA,"2419264000","0.15203",NA,NA,NA,NA,"0.0775",NA,"29.0","0.0325","0.04655","9175908000","0.18646",NA,NA,"Plan covers state and local employees","29098000000","0.03"
"197","2007","CalPERS - California Public Employees Retirement Fund","California","0.191","Entry Age Normal","0.872","216484000000","251122682000","248224000000",NA,"6442383867","1.0",NA,NA,"Level Percent Closed","-10070555000","10252129000","-181574000","-278453000",NA,"40864000000","3262699000","0.07984","6442384000",NA,"2782053000","0.15345999999999999",NA,NA,NA,NA,"0.0775",NA,"28.0","0.0325","0.04793","9705083000","0.18537",NA,NA,"Plan covers state and local employees","31740000000","0.03"
"198","2008","CalPERS - California Public Employees Retirement Fund","California","-0.051","Entry Age Normal","0.869","233272000000","237915479000","268324000000",NA,"7242802002","1.0",NA,NA,"Level Percent Closed","-10884417000","11066832000","-182415000","-402340000",NA,"44236000000","3512075000","0.07939","7242802000",NA,"3016491000","0.15619",NA,NA,NA,NA,"0.0775",NA,"27.0","0.0325","0.0492","10754877000","0.18638",NA,NA,"Plan covers state and local employees","35052000000","0.03"
"199","2009","CalPERS - California Public Employees Retirement Fund","California","-0.24","Entry Age Normal","0.833","244964000000","178899883000","294042000000",NA,"6912376563","1.0",NA,NA,"Level Percent Closed","-11831836000","12018620000","-186783000","-427809000",NA,"45100000000","3882355000","0.08607999999999999","6912376000",NA,"3080141000","0.15686",NA,NA,NA,NA,"0.0775",NA,"26.0","0.0325","0.04956","10794731000","0.19338",NA,NA,"Plan covers state and local employees","49078000000","0.03"
"200","2010","CalPERS - California Public Employees Retirement Fund","California","0.133","Entry Age Normal","0.834","257070000000","201616074000","308343000000",NA,"6955049078","1.0",NA,NA,"Level Percent Closed","-12972457000","13154846000","-182387000","-278036000",NA,"44984000000","3378867000","0.07511","6955049000",NA,"2878468000","0.17152",NA,NA,NA,NA,"0.0775",NA,"25.0","0.0325","0.06332","10333916000","0.18331",NA,NA,"Plan covers state and local employees","51273000000","0.03"
"201","2011","CalPERS - California Public Employees Retirement Fund","California","0.217","Entry Age Normal","0.826","271389000000","241761791000","328567000000",NA,"7465397498","1.0",NA,NA,"Level Percent Closed","-14242258000","14469427000","-227168000","-357779000",NA,"43901000000","3600089000","0.08201","7465397000",NA,"3276864000","0.17606",NA,NA,NA,NA,"0.075",NA,"24.0","0.03","0.0756","11065486000","0.18247",NA,NA,"Plan covers state and local employees","57178000000","0.0275"
"202","2012","CalPERS - California Public Employees Retirement Fund","California","0.001","Entry Age Normal","0.831","282991000000","236981945000","340429000000",NA,"7772912572","1.0",NA,NA,"Level Percent Closed","-15356696000","15574779000","-218082000","-380404000",NA,"42599000000","3598437000","0.08447","7772913000",NA,"2928014000","0.18452000000000002",NA,NA,NA,NA,"0.075",NA,"23.0","0.03","0.08135","11371350000","0.18764",NA,NA,"Plan covers state and local employees","57438000000",NA
"203","2013","CalPERS - California Public Employees Retirement Fund","California","0.132","Entry Age Normal","0.752","281928000000","261989904000","375019000000",NA,"7988036866","1.017",NA,NA,NA,"-16635263000","16635263000","-242595000","-426077000",NA,"42575000000","3896078000","0.09151000000000001","8123833000",NA,"3236344000","0.18452000000000002",NA,NA,NA,NA,"0.075",NA,NA,"0.03","0.08135","12019911000","0.19468",NA,NA,"Plan covers state and local employees","93091000000",NA
"204","2014","CalPERS - California Public Employees Retirement Fund","California","0.184","Individual Entry Age Normal","0.763","301257000000","301761539000","394726000000",NA,"8777602000","1.0",NA,NA,"Level Percent","-17760584000","17760885000","-236968000","-381497000",NA,"44958000000","3775038000","0.07797","8777602000",NA,"3749375000","0.19594",NA,NA,NA,NA,"0.075",NA,"30.0","0.03","0.07852","12552640000","0.19539",NA,NA,"Plan covers state and local employees","93469000000",NA
"205","2015","CalPERS - California Public Employees Retirement Fund","California","0.024","Individual Entry Age Normal","0.731","302418000000","302764518000","413700000000",NA,"10079467000","1.0",NA,NA,"Level Percent","-18922292000","18922292000","-240623000","-340880000",NA,"47458000000","3724310000","0.07722000000000001","10079467000",NA,"4568085000","0.23071",NA,NA,NA,NA,"0.075",NA,"30.0","0.03","0.12487000000000001","13803777000","0.18507",NA,NA,"Plan covers state and local employees","111282000000",NA
"206","2016","CalPERS - California Public Employees Retirement Fund","California","0.006","Individual Entry Age Normal","0.683","298126000000","298704002000","436703000000",NA,"10892489000","1.0",NA,NA,"Level Percent","-20093933000","20093933000","-238821000","-184447000",NA,"49833000000","4015754000","0.07702","10892489000",NA,"4960739000","0.25243000000000004",NA,NA,NA,NA,"0.075",NA,"30.0","0.03","0.14549","14908243000","0.18395",NA,NA,"Plan covers state and local employees","138577000000",NA
"207","2017","CalPERS - California Public Employees Retirement Fund","California","0.112","Individual Entry Age Normal","0.701","326182000000","326498998000","465046000000",NA,"12329837000","1.0",NA,NA,"Level Percent","-21215889000",NA,"-222275000","-441283000",NA,"51991000000","4214578000","0.07769","12329837000",NA,NA,"0.22333000000000003",NA,NA,NA,NA,"0.075",NA,"30.0",NA,"0.11092","16544415000","0.1901",NA,NA,"Plan covers state and local employees","138864000000",NA
"208","2018","CalPERS - California Public Employees Retirement Fund","California","0.086","Individual Entry Age Normal","0.702","354616000000","353995501000","504996000000",NA,"19917796000","1.0",NA,NA,"Level Percent","-22654444000","22654444335000","-286979000","-505513000",NA,"53903000000","4415129000",NA,"19917796000",NA,"11695861037000",NA,NA,NA,NA,NA,"0.075",NA,"30.0",NA,NA,"24332925000",NA,NA,NA,"Plan covers state and local employees","150380000000",NA
"209","2019","CalPERS - California Public Employees Retirement Fund","California","0.067","Individual Entry Age Normal","0.702","354616000000","372611433000","504996000000",NA,"19917796000","1.0",NA,NA,"Level Percent","-24209283000",NA,"-280266000","-252558000",NA,"53903000000","4664618000",NA,"15612678000",NA,NA,NA,NA,NA,NA,NA,"0.075",NA,"30.0",NA,NA,"20277296000",NA,NA,NA,"Plan covers state and local employees","150380000000",NA
"210","2001","University of California Retirement System","California","-0.055","Entry Age Normal","1.477","40554500000","38869900000","27451200000",NA,"0","1.0",NA,NA,"Level Percent Open","-856876000","707119000","-23881000","-22227000",NA,"6539200000","4405000","0.00067",NA,NA,"1927000","0.0",NA,NA,NA,NA,"0.075",NA,"18.0",NA,"-0.1491","4922000","0.14977000000000001",NA,NA,"Plan covers teachers","-13103300000","0.054"
"211","2002","University of California Retirement System","California","-0.092","Entry Age Normal","1.384","41648800000","34441805000","30099600000",NA,"0","1.0",NA,NA,"Level Percent Open","-917747000","783722000","-26460000","-25427000",NA,"7226500000","2954000","0.00041","118000",NA,"5809000","0.0",NA,NA,NA,NA,"0.075",NA,"13.0",NA,"-0.1515","3072000","0.15191",NA,NA,"Plan covers teachers","-11549200000","0.054"
"212","2003","University of California Retirement System","California","0.056","Entry Age Normal","1.257","41429300000","35326812000","32954800000",NA,"0","1.0",NA,NA,"Level Percent Open","-954887000","852706000","-32665000","-25613000",NA,"7733800000","7060000","0.00091","811000",NA,"1444000","0.0",NA,NA,NA,NA,"0.075",NA,"8.0",NA,"-0.1522","7871000","0.15311",NA,NA,"Plan covers teachers","-8474500000","0.054"
"213","2004","University of California Retirement System","California","0.143","Entry Age Normal","1.179","41293100000","39187660000","35034200000",NA,"0","1.0",NA,NA,"Level Percent Open","-1064180000","940327000","-57236000","-22987000",NA,"7835200000","2503000","0.020669999999999997","5150000",NA,"7426000","0.1559",NA,NA,NA,NA,"0.075",NA,"5.0",NA,"0.0055","7653000","0.17107",NA,NA,"Plan covers teachers","-6258900000",NA
"214","2005","University of California Retirement System","California","0.103","Entry Age Normal","1.103","41084900000","41857500000","37252400000",NA,"0","1.0",NA,NA,"Level Percent Open","-1223648000","1051504000","-70560000","-20184000",NA,"8149600000","1653000","0.0206","737000",NA,"737000","0.159",NA,NA,NA,NA,"0.075",NA,"3.0",NA,"0.0056","2390000","0.174",NA,NA,"Plan covers teachers","-3832500000",NA
"215","2006","University of California Retirement System","California","0.071","Entry Age Normal","1.041","41972500000","43362224000","40301700000",NA,"0","1.0",NA,NA,"Level Percent Open","-1369819000","1175820000","-70865000","-32883000",NA,"8259000000","1746000","0.02047","13000",NA,"20089000","0.1639",NA,NA,NA,NA,"0.075",NA,"1.0",NA,"0.0058","1759000","0.17857",NA,NA,"Plan covers teachers","-1670800000",NA
"216","2007","University of California Retirement System","California","0.1883","Entry Age Normal","1.048","43434000000","48105348000","41436600000",NA,"23934000","1.0",NA,NA,"Level Percent Open","-3069413000","1332394000","-89829000","-37801000",NA,"7612700000","1406000","0.02041","23934000",NA,"23934000","0.1738",NA,NA,NA,NA,"0.075",NA,"1.0",NA,"0.0062","25340000","0.18800999999999998",NA,NA,"Plan covers teachers","-1997400000",NA
"217","2008","University of California Retirement System","California","-0.0574","Entry Age Normal","1.03","43840272000","42023162000","42576822000",NA,"2657000","1.0",NA,NA,"Level Percent Open","-3359198000","1479500000","-96690000","-35357000",NA,"7468809000","1391000","0.02036","2657000",NA,"8908000","0.1161",NA,NA,NA,NA,"0.075",NA,"1.0",NA,"-0.053","4048000","0.18946",NA,NA,"Plan covers teachers","-1263450000",NA
